YEVMİYE DEFTERİ;;;;;
ALANYA ÖZKAN KIRTASİYE MAT.YAY.İNŞ.TİC.LTD.ŞTİ.;;;;;
Dönem :;01/01/2025-31/12/2025;;;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001321 18/06 Elite Gayrimenkul İnşaat Turizm Ticaret A.Ş.;1.327,50;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;2.268,00;2.268,00
;;;;;
06732-----06732-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;165,00;
   120.73;ELİTE GAYRİMENKUL İNŞ.TİC.AŞ.;FT OZE2025000001322 18/06 Elite Gayrimenkul İnşaat Turizm Ticaret A.Ş.;165,00;;
391;HESAPLANAN KDV;   ;;;27,50
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001322 18/06 Elite Gayrimenkul İnşaat Turizm Ticaret A.Ş.;27,50;;
600;YURTİÇİ SATIŞLAR;   ;;;137,50
600.020;%20 KDV Lİ SATIŞLAR;   ;137,50;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001322 18/06 Elite Gayrimenkul İnşaat Turizm Ticaret A.Ş.;137,50;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;165,00;165,00
;;;;;
06733-----06733-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;52,50;
   120.239;GARDENİA YİYECEK İÇECEK HİZMETLERİ TURİZM VE TİCARET LİMİTED ŞİRKETİ;FT OZE2025000001323 18/06 GARDENİA YİYECEK İÇECEK HİZ.TUR.TİC.LTD.ŞTİ;52,50;;
391;HESAPLANAN KDV;   ;;;4,77
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001323 18/06 GARDENİA YİYECEK İÇECEK HİZ.TUR.TİC.LTD.ŞTİ;4,77;;
600;YURTİÇİ SATIŞLAR;   ;;;47,73
600.010;% 10 KDV Lİ SATIŞLAR;   ;47,73;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001323 18/06 GARDENİA YİYECEK İÇECEK HİZ.TUR.TİC.LTD.ŞTİ;47,73;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;52,50;52,50
;;;;;
06734-----06734-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;7.064,08;
   120.106;GENÇ FIRAT TURİZM TİC.İNŞ.İŞLT.A.Ş.;FT OZE2025000001324 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;7.064,08;;
391;HESAPLANAN KDV;   ;;;1.050,68
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001324 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;152,00;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001324 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;898,68;;
600;YURTİÇİ SATIŞLAR;   ;;;6.013,40
600.010;% 10 KDV Lİ SATIŞLAR;   ;1.520,00;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001324 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;1.520,00;;
600.020;%20 KDV Lİ SATIŞLAR;   ;4.493,40;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001324 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;4.493,40;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;7.064,08;7.064,08
;;;;;
06735-----06735-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;2.760,00;
   120.106;GENÇ FIRAT TURİZM TİC.İNŞ.İŞLT.A.Ş.;FT OZE2025000001325 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;2.760,00;;
391;HESAPLANAN KDV;   ;;;460,00
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001325 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;460,00;;
600;YURTİÇİ SATIŞLAR;   ;;;2.300,00
600.020;%20 KDV Lİ SATIŞLAR;   ;2.300,00;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001325 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;2.300,00;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;2.760,00;2.760,00
;;;;;
06736-----06736-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;4.014,00;
   120.106;GENÇ FIRAT TURİZM TİC.İNŞ.İŞLT.A.Ş.;FT OZE2025000001326 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;4.014,00;;
391;HESAPLANAN KDV;   ;;;669,00
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001326 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;669,00;;
600;YURTİÇİ SATIŞLAR;   ;;;3.345,00
600.020;%20 KDV Lİ SATIŞLAR;   ;3.345,00;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001326 18/06 GENÇ FIRAT TURİZM TİC.İNŞ.İŞL.A.Ş.;3.345,00;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;4.014,00;4.014,00
;;;;;
06737-----06737-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;2.022,77;
   120.352;GOLDEN RİVİERA EMLAKİNŞAAT TAAH.TUR.SAĞ.TİC.SAN.LTD.ŞTİ.;FT OZE2025000001327 18/06 GOLDEN RİVİERA EMLAK İNŞAAT TAAH. TUR. SAĞ. TİC. SAN. LTD. ŞTİ.;2.022,77;;
391;HESAPLANAN KDV;   ;;;326,80
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001327 18/06 GOLDEN RİVİERA EMLAK İNŞAAT TAAH. TUR. SAĞ. TİC. SAN. LTD. ŞTİ.;12,41;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001327 18/06 GOLDEN RİVİERA EMLAK İNŞAAT TAAH. TUR. SAĞ. TİC. SAN. LTD. ŞTİ.;314,39;;
600;YURTİÇİ SATIŞLAR;   ;;;1.695,97
600.010;% 10 KDV Lİ SATIŞLAR;   ;124,09;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001327 18/06 GOLDEN RİVİERA EMLAK İNŞAAT TAAH. TUR. SAĞ. TİC. SAN. LTD. ŞTİ.;124,09;;
600.020;%20 KDV Lİ SATIŞLAR;   ;1.571,88;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001327 18/06 GOLDEN RİVİERA EMLAK İNŞAAT TAAH. TUR. SAĞ. TİC. SAN. LTD. ŞTİ.;1.571,88;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;2.022,77;2.022,77
;;;;;
06738-----06738-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;3.360,00;
   120.08;GÖÇMENTÜRK DAYANIKLI TÜKETİM MALLARI TİCARET VE TURİZM LİMİTED ŞİRKETİ;FT OZE2025000001328 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;3.360,00;;
391;HESAPLANAN KDV;   ;;;560,00
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001328 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;560,00;;
600;YURTİÇİ SATIŞLAR;   ;;;2.800,00
600.020;%20 KDV Lİ SATIŞLAR;   ;2.800,00;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001328 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;2.800,00;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;3.360,00;3.360,00
;;;;;
06739-----06739-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;4.084,50;
   120.08;GÖÇMENTÜRK DAYANIKLI TÜKETİM MALLARI TİCARET VE TURİZM LİMİTED ŞİRKETİ;FT OZE2025000001329 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;4.084,50;;
391;HESAPLANAN KDV;   ;;;608,02
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001329 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;87,27;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001329 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;520,75;;
600;YURTİÇİ SATIŞLAR;   ;;;3.476,48
600.010;% 10 KDV Lİ SATIŞLAR;   ;872,73;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001329 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;872,73;;
600.020;%20 KDV Lİ SATIŞLAR;   ;2.603,75;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001329 18/06 GÖÇMENTÜRK DAYANIKLI TÜK. MALL. TİC. VE TUR. LTD. ŞTİ.;2.603,75;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;4.084,50;4.084,50
;;;;;
06740-----06740-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;2.875,00;
   108.01;KREDİ KARTI SATIŞLARI;FT OZE2025000001330 18/06 GÜNPAŞ TEKSTİL TUR.İNŞ.OTOM.PAZ.TİC.LTD.ŞTİ;2.875,00;;
391;HESAPLANAN KDV;   ;;;261,36
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001330 18/06 GÜNPAŞ TEKSTİL TUR.İNŞ.OTOM.PAZ.TİC.LTD.ŞTİ;261,36;;
600;YURTİÇİ SATIŞLAR;   ;;;2.613,64
600.010;% 10 KDV Lİ SATIŞLAR;   ;2.613,64;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001330 18/06 GÜNPAŞ TEKSTİL TUR.İNŞ.OTOM.PAZ.TİC.LTD.ŞTİ;2.613,64;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;2.875,00;2.875,00
;;;;;
06741-----06741-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;10.482,50;
   120.204;GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;FT OZE2025000001331 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;10.482,50;;
391;HESAPLANAN KDV;   ;;;1.491,40
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001331 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;306,82;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001331 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;1.184,58;;
600;YURTİÇİ SATIŞLAR;   ;;;8.991,10
600.010;% 10 KDV Lİ SATIŞLAR;   ;3.068,18;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001331 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;3.068,18;;
600.020;%20 KDV Lİ SATIŞLAR;   ;5.922,92;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001331 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;5.922,92;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;10.482,50;10.482,50
;;;;;
06742-----06742-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;8.309,94;
   120.204;GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;FT OZE2025000001332 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;8.309,94;;
391;HESAPLANAN KDV;   ;;;1.384,99
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001332 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;1.384,99;;
600;YURTİÇİ SATIŞLAR;   ;;;6.924,95
600.020;%20 KDV Lİ SATIŞLAR;   ;6.924,95;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001332 18/06 GÜR GRUP İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;6.924,95;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;8.309,94;8.309,94
;;;;;
06743-----06743-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;1.106,26;
   108.01;KREDİ KARTI SATIŞLARI;FT OZE2025000001333 18/06 GÜRSES OTOMOTİV SANAYİ TİCARET A.Ş.;1.106,26;;
391;HESAPLANAN KDV;   ;;;184,38
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001333 18/06 GÜRSES OTOMOTİV SANAYİ TİCARET A.Ş.;184,38;;
600;YURTİÇİ SATIŞLAR;   ;;;921,88
600.020;%20 KDV Lİ SATIŞLAR;   ;921,88;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001333 18/06 GÜRSES OTOMOTİV SANAYİ TİCARET A.Ş.;921,88;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;1.106,26;1.106,26
;;;;;
06744-----06744-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;855,00;
   120.240;GÜVENİRLER İNŞAAT TURİZM TİC LTD ŞTİ;FT OZE2025000001334 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;855,00;;
391;HESAPLANAN KDV;   ;;;142,50
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001334 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;142,50;;
600;YURTİÇİ SATIŞLAR;   ;;;712,50
600.020;%20 KDV Lİ SATIŞLAR;   ;712,50;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001334 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;712,50;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;855,00;855,00
;;;;;
06745-----06745-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;6.174,93;
   120.240;GÜVENİRLER İNŞAAT TURİZM TİC LTD ŞTİ;FT OZE2025000001335 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;6.174,93;;
391;HESAPLANAN KDV;   ;;;866,47
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001335 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;195,23;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001335 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;671,24;;
600;YURTİÇİ SATIŞLAR;   ;;;5.308,46
600.010;% 10 KDV Lİ SATIŞLAR;   ;1.952,27;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001335 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;1.952,27;;
600.020;%20 KDV Lİ SATIŞLAR;   ;3.356,19;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001335 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;3.356,19;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;6.174,93;6.174,93
;;;;;
06746-----06746-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;3.843,26;
   120.240;GÜVENİRLER İNŞAAT TURİZM TİC LTD ŞTİ;FT OZE2025000001336 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;3.843,26;;
391;HESAPLANAN KDV;   ;;;563,73
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001336 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;55,18;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001336 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;508,55;;
600;YURTİÇİ SATIŞLAR;   ;;;3.279,53
600.00;KDV SİZ SATIŞLARI;   ;185,00;;
   600.00.01;KDV SİZ KİTAP SATIŞLARI;FT OZE2025000001336 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;185,00;;
600.010;% 10 KDV Lİ SATIŞLAR;   ;551,82;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001336 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;551,82;;
600.020;%20 KDV Lİ SATIŞLAR;   ;2.542,71;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001336 18/06 GÜVENİRLER İNŞAAT TURİZM TİCARET LİMİTED ŞİRKETİ;2.542,71;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;3.843,26;3.843,26
;;;;;
06747-----06747-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
108;DİĞER HAZIR DEĞERLER;   ;;712,50;
   108.01;KREDİ KARTI SATIŞLARI;FT OZE2025000001337 18/06 HİSAR ALADAĞ YAPI DENETİM LİMİTED ŞİRKETİ;712,50;;
391;HESAPLANAN KDV;   ;;;118,75
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001337 18/06 HİSAR ALADAĞ YAPI DENETİM LİMİTED ŞİRKETİ;118,75;;
600;YURTİÇİ SATIŞLAR;   ;;;593,75
600.020;%20 KDV Lİ SATIŞLAR;   ;593,75;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001337 18/06 HİSAR ALADAĞ YAPI DENETİM LİMİTED ŞİRKETİ;593,75;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;712,50;712,50
;;;;;
06748-----06748-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;4.708,76;
   120.132;HÜSNÜ KILINÇ TURİZMİŞL.TİC.AŞ.;FT OZE2025000001338 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;4.708,76;;
391;HESAPLANAN KDV;   ;;;580,25
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001338 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;245,45;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001338 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;334,80;;
600;YURTİÇİ SATIŞLAR;   ;;;4.128,51
600.010;% 10 KDV Lİ SATIŞLAR;   ;2.454,55;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001338 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;2.454,55;;
600.020;%20 KDV Lİ SATIŞLAR;   ;1.673,96;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001338 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;1.673,96;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;4.708,76;4.708,76
;;;;;
06749-----06749-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;2.295,00;
   120.132;HÜSNÜ KILINÇ TURİZMİŞL.TİC.AŞ.;FT OZE2025000001339 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;2.295,00;;
391;HESAPLANAN KDV;   ;;;382,50
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001339 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;382,50;;
600;YURTİÇİ SATIŞLAR;   ;;;1.912,50
600.020;%20 KDV Lİ SATIŞLAR;   ;1.912,50;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001339 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;1.912,50;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;2.295,00;2.295,00
;;;;;
06750-----06750-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;3.854,76;
   120.132;HÜSNÜ KILINÇ TURİZMİŞL.TİC.AŞ.;FT OZE2025000001340 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;3.854,76;;
391;HESAPLANAN KDV;   ;;;642,47
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001340 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;642,47;;
600;YURTİÇİ SATIŞLAR;   ;;;3.212,29
600.020;%20 KDV Lİ SATIŞLAR;   ;3.212,29;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001340 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;3.212,29;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;3.854,76;3.854,76
;;;;;
06751-----06751-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;2.262,50;
   120.132;HÜSNÜ KILINÇ TURİZMİŞL.TİC.AŞ.;FT OZE2025000001341 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;2.262,50;;
391;HESAPLANAN KDV;   ;;;377,08
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001341 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;377,08;;
600;YURTİÇİ SATIŞLAR;   ;;;1.885,42
600.020;%20 KDV Lİ SATIŞLAR;   ;1.885,42;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001341 18/06 HÜSNÜ KILINÇ TURİZM İŞLETMELERİ TİC. A.Ş.;1.885,42;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;2.262,50;2.262,50
;;;;;
06752-----06752-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;8.955,00;
   120.301;İCON MC İNŞAAT EMLAK TURİZM TİCARET LİMİTED ŞİRKETİ;FT OZE2025000001342 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;8.955,00;;
391;HESAPLANAN KDV;   ;;;1.492,50
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001342 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;1.492,50;;
600;YURTİÇİ SATIŞLAR;   ;;;7.462,50
600.020;%20 KDV Lİ SATIŞLAR;   ;7.462,50;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001342 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;7.462,50;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;8.955,00;8.955,00
;;;;;
06753-----06753-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;6.466,01;
   120.301;İCON MC İNŞAAT EMLAK TURİZM TİCARET LİMİTED ŞİRKETİ;FT OZE2025000001343 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;6.466,01;;
391;HESAPLANAN KDV;   ;;;990,55
   391.010;% 10 HESAPLANAN KDV;FT OZE2025000001343 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;104,55;;
   391.020;% 20 HESAPLANAN KDV;FT OZE2025000001343 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;886,00;;
600;YURTİÇİ SATIŞLAR;   ;;;5.475,46
600.010;% 10 KDV Lİ SATIŞLAR;   ;1.045,46;;
   600.010.02;KIRTASİYE SATIŞLARI %10 KDVLİ;FT OZE2025000001343 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;1.045,46;;
600.020;%20 KDV Lİ SATIŞLAR;   ;4.430,00;;
   600.020.01;KIRTASİYE SATIŞLARI %20 KDVLİ;FT OZE2025000001343 18/06 İCON MC İNŞAAT EMLAK TURİZM TİCARET LTD.ŞTİ;4.430,00;;
FİŞ AÇIKLAMA : ;SATIŞ;;;;
TOPLAM :;;;;6.466,01;6.466,01
;;;;;
06754-----06754-----MAHSUP-----18/06/2025;;;TL;;
HESAP KODU;HESAP ADI;AÇIKLAMA;DETAY;BORÇ;ALACAK
120;ALICILAR;   ;;5.714,25;
   120.309;KIRBIYIK İÇECEK DAĞIPAZ.TRZ.OTEL.İNŞ.TİCS.A.Ş.;FT OZE2025000001344 18/06 Kırbıyık İçecek Dağı.Paz.Tur.Otel.İnş.Tic.Ve San.A.Ş.;5.714,25;;
391;HESAPLANAN KDV;   ;;;696,70
